Word,Part of Speech,CEFR Level
computer,n.,A1
conceal,v.,C1
concede,v.,C1
conceit,noun,B2
conceivable,adjective,B2
conceive,v.,C1
concentrate,v.,B1
concentration,n.,B2
concept,n.,B2
conception,n.,C1
concern,verb,B2
concerned,adj.,B2
concerning,preposition,B2
concert,n.,A1
concession,n.,C1
conclude,v.,B1
conclusion,n.,B1
concrete,noun,B2
condemn,v.,C1
condition,n.,A2
conduct,verb,B2
conductor,noun,B2
cone,noun,B2
confer,v.,C1
conference,n.,A2
conferencing,noun,B2
confess,v.,B2
confession,n.,C1
confidence,n.,B2
confident,adj.,B1
confidently,adverb,B2
configuration,n.,C1
confine,v.,C1
confirm,v.,B1
confirmation,n.,C1
conflict,noun,B1
confront,v.,C1
confrontation,n.,C1
confuse,v.,B1
confused,adj.,B1
confusing,adj.,B2
confusion,n.,B2
congratulate,v.,C1
congregation,n.,C1
congress,n.,B2
congressional,adj.,C1
conjunction,noun,B2
connect,v.,A2
connected,adj.,A2
connection,n.,B1
connection/connexion,noun,B1
conquer,v.,C1
conquest,noun,B2
conscience,n.,C1
conscious,adj.,B2
consciousness,n.,C1
consecutive,adj.,C1
consensus,n.,C1
consent,noun,B2
consequence,n.,B1
consequently,adv.,B2
conservation,n.,B2
conservative,adjective,B1
conserve,v.,C1
consider,v.,A2
considerable,adj.,B2
considerably,adv.,B2
consideration,n.,B2
considering,preposition,B2
consist,v.,B1
consistency,n.,C1
consistent,adj.,B2
consistently,adv.,B2
consolation,noun,B2
console,verb,B2
consolidate,v.,C1
consonant,noun,B1
conspiracy,n.,B2
constant,adj.,B2
constantly,adv.,B2
constituency,n.,C1
constitute,v.,C1
constitution,n.,C1
constitutional,adj.,C1
constraint,n.,C1
construct,v.,B2
construction,n.,B2
consult,v.,B2
consultant,n.,B2
consultation,n.,C1
consume,v.,B1
consumer,n.,B1
consumption,n.,B2
contact,verb,A2
contain,v.,A2
container,n.,B1
contaminate,verb,B2
contemplate,v.,C1
contemporary,adj.,B2
contempt,n.,C1
contend,v.,C1
contender,n.,C1
content,noun,B1
content1,n.,B1
content2,adj.,C1
contention,n.,C1
contest,noun,A1
context,n.,A2
continent,n.,A2
continual,adjective,B1
continually,adv.,C1
continue,v.,A2
continuous,adj.,B1
continuously,adverb,B1
contract,noun,B2
contractor,n.,C1
contradict,verb,B2
contradiction,n.,C1
contradictory,adjective,B2
contrary,adjective,B1
contrast,noun,A2
contribute,v.,B2
contribution,n.,B2
contributor,n.,C1
control,verb,B1
controversial,adj.,B2
controversy,n.,B2
convenience,n.,B2
convenient,adj.,B1
conveniently,adverb,B2
convention,n.,B2
conventional,adj.,B2
conversation,n.,A1
converse,noun,B2
conversely,adverb,B2
conversion,n.,C1
convert,v.,B2
convey,v.,B2
convict,v.,C1
conviction,n.,C1
convince,v.,B1
convinced,adj.,B2
convincing,adj.,B2
cook,verb,A1
cooker,n.,A2
cookie,n.,A2
cooking,n.,A1
cool,verb,B2
cooler,noun,A2
cooperate,v.,C1
cooperation,noun,B2
cooperative,adj.,C1
coordinate,v.,C1
coordination,n.,C1
coordinator,n.,C1
cop,n.,C1
cope,v.,B2
copper,n.,C1
copy,verb,A2
copyright,n.,C1
coral,noun,B2
core,noun,B2
corn,n.,B1
corner,n.,A2
cornerstone,noun,B2
cornet,noun,B2
corona,noun,B2
corporal,adjective,B2
corporate,adj.,B2
corporation,n.,B2
correct,verb,B2
correction,n.,C1
correctly,adv.,A2
correctness,noun,B2
correlate,v.,C1
correlation,n.,C1
correspond,v.,C1
correspondence,n.,C1
correspondent,n.,C1
corresponding,adj.,C1
corridor,n.,B2
corrupt,adj.,C1
corruption,n.,C1
cost,verb,A2
costly,adj.,C1
costume,n.,B1
cottage,n.,B1
cotton,n.,B1
couch,noun,A1
cough,verb,B1
could,modal auxiliary,A1
council,n.,B2
councillor,n.,C1
counseling/counselling,noun,B1
counselling,n.,C1
counsellor,n.,C1
count,verb,A2
counter,verb,B1
counterpart,n.,C1
countless,adj.,C1
country,n.,A1
countryman,noun,B2
countryside,n.,B1
countrywide,adjective,B2
county,n.,B2
coup,n.,C1
couple,n.,A2
courage,n.,B2
courageous,adjective,B1
courgette,noun,B1
course,n.,A1
court,n.,B1
courtesy,n.,C1
cousin,n.,A1
cover,verb,A2
coverage,n.,B2
covered,adj.,B1
cow,n.,A1
coward,noun,B2
cowardly,adjective,B2
coziness/cosiness,noun,B2
cozy/cosy,adjective,B2
crab,noun,B2
crack,verb,B2
craft,noun,B1
craftsman,noun,B2
crash,verb,B1
crater,noun,B2
crawl,v.,C1
crazy,adj.,A2
cream,noun,A1
crease,noun,B2
create,v.,A1
creation,n.,B2
creative,adj.,A2
creatively,adverb,B2
creativity,n.,B2
creator,n.,C1
creature,n.,B2
credibility,n.,C1
credible,adj.,C1
credit,noun,A2
credit card,noun,A1
creek,noun,B2
creep,v.,C1
creepy,adjective,B2
crew,n.,B2
cricket,noun,A2
crime,n.,A2
criminal,noun,B1
cripple,noun,B2
crisis,n.,B2
crisp,noun,A2
criterion,n.,B2
critic,n.,B2
critical,adj.,B2
critically,adv.,B2
criticism,n.,B2
criticize,v.,B2
criticize/criticise,verb,A2
critique,n.,C1
crocodile,noun,B2
crop,n.,B2
cross,verb,A2
crossing,noun,B1
crossly,adverb,B2
crossroads,noun,B1
crow,noun,B1
crowd,n.,A2
crowded,adj.,A2
crown,n.,C1
crucial,adj.,B2
crude,adj.,C1
cruel,adj.,B1
cruelly,adverb,B2
cruelty,noun,B2
cruise,verb,B2
crush,v.,C1
cry,verb,A2
crystal,n.,C1
crystallize/crystallise,verb,B2
cube,noun,B2
cubism,noun,B2
cucumber,noun,B1
cue,n.,B2
cuff,noun,B2
culmination,noun,B2
cultivate,v.,C1
cultural,adj.,B1
culturally,adverb,B2
culture,n.,A1
cup,n.,A1
cupboard,n.,B1
cure,verb,B2
curiosity,n.,C1
curious,adj.,B2
curiously,adverb,B1
curl,noun,B2
curly,adj.,A2
currency,n.,B1
current,adjective,B1
currently,adv.,B1
curriculum,n.,B2
curry,noun,A2
curse,noun,A2
cursor,noun,B2
curtain,n.,B1
curve,noun,B1
curved,adj.,B2
cushion,noun,B1
custody,n.,C1
custom,n.,B1
customer,n.,A1
customs,noun,B1
cut,verb,A1
cute,adj.,B2
cutting,n.,C1
cyberaddict,noun,B2
cybercafe/cybercaf?,noun,B2
cybercrime,noun,B2
cyberpet,noun,B2
cyberschool,noun,B2
cyberspace,noun,B2
cycle,verb,B1
cycling,noun,A2
cyclist,noun,B2
cynical,adj.,C1
dad,n.,A1
daddy,noun,A1
daft,adjective,B2
daily,adverb,A2
daisy,noun,B1
dam,n.,C1
damage,verb,B1
damaged,adjective,B1
damaging,adj.,C1
damn,interjection,B2
damp,adjective,B1
dance,verb,A1
dancer,n.,A1
dancing,n.,A1
dandelion,noun,B2
danger,n.,A2
dangerous,adj.,A1
dangerously,adverb,B1
dare,v.,B2
dark,adjective,A1
darkness,n.,B2
darling,noun,B2
dash,verb,B2
data,n.,A2
database,n.,B2
date,verb,B1
dated,adjective,B2
dating,noun,B1
daughter,n.,A1
daughter-in-law,noun,B2
dawn,n.,C1
day,n.,A1
daylight,noun,A2
daytime,noun,B2
daze,noun,B1
dazzle,noun,B1
de facto,adjective,B2
dead,adj.,A2
deadline,n.,B2
deadly,adj.,B2
deaf,adjective,B1
deal,verb,B1
dealer,n.,B2
dear,adj.,A1
dearly,adverb,B2
death,n.,A2
debate,noun,A2
debit,verb,B2
debit card,noun,B2
debris,n.,C1
debt,n.,B2
debut,n.,C1
decade,n.,B1
decay,verb,B2
deceive,verb,B2
decent,adj.,B2
deceptive,adjective,B2
decide,v.,A1
decision,n.,A2
decision-making,n.,C1
decisive,adj.,C1
deck,n.,B2
declaration,n.,C1
declare,v.,B2
decline,verb,B2
decomposition,noun,B2
decorate,v.,B2
decoration,n.,B2
decorative,adjective,B2
decrease,verb,B1
dedicate,verb,B1
dedicated,adj.,C1
dedication,n.,C1
deduce,verb,B2
deduction,noun,B2
deed,n.,C1
deem,v.,C1
deep,adverb,A2
deeply,adv.,B2
deer,noun,B2
default,n.,C1
defeat,verb,B1
defect,n.,C1
defence,n.,B2
defend,v.,B2
defender,n.,B2
defense,n.,B2
defense/defence,noun,B1
defensive,adj.,C1
deficiency,n.,C1
deficit,n.,C1
define,v.,B1
definite,adj.,B1
definite article,noun,B1
definitely,adv.,A2
definition,n.,B1
deforestation,noun,B2
defy,v.,C1
degree,n.,A2
dehumanize/dehumanise,verb,B2
delay,verb,B1
delegate,n.,C1
delegation,n.,C1
delete,v.,B2
deliberate,adj.,B2
deliberately,adv.,B2
delicacy,noun,B2
delicate,adj.,C1
delicately,adverb,B2
delicious,adj.,A1
delight,verb,B2
delighted,adj.,B2
delightful,adjective,B1
deliver,v.,B1
delivery,n.,B2
demand,verb,B1
demanding,adjective,B2
democracy,n.,B2
democratic,adj.,B2
demolish,verb,B2
demon,n.,C1
demonstrate,v.,B2
demonstration,n.,B2
denial,n.,C1
denim,noun,B2
denounce,v.,C1
dense,adj.,C1
densely,adverb,B2
density,n.,C1
dental,adjective,B2
dentist,n.,A2
deny,v.,B2
depart,v.,B2
department,n.,A2
department store,noun,A2
departure,n.,B1
depend,v.,A2
dependable,adjective,B2
dependence,n.,C1
dependent,adj.,B2
depict,v.,C1
deploy,v.,C1
deployment,n.,C1
deposit,verb,B2
depressed,adj.,B2
depressing,adj.,B2
depression,n.,B2
deprive,v.,C1
depth,n.,B2
deputy,n.,C1
derive,v.,B2
descend,v.,C1
descent,n.,C1
describe,v.,A1
description,n.,A1
descriptive,adjective,B2
desert,noun,A2
deserve,v.,B2
design,verb,B1
designate,v.,C1
designer,n.,A2
desirable,adj.,C1
desire,verb,B2
desk,n.,A1
desktop,n.,C1
desolation,noun,B2
despair,noun,B1
desperate,adj.,B2
desperately,adv.,B2
desperation,noun,B2
despise,verb,B2
despite,preposition,B1
dessert,n.,A2
destination,n.,B1
destiny,noun,B2
destroy,v.,A2
destruction,n.,B2
destructive,adj.,C1
detach,verb,B2
detachment,noun,B2
detail,noun,A2
detailed,adj.,B2
detain,v.,C1
detect,v.,B2
detection,n.,C1
detective,n.,A2
detention,n.,C1
deteriorate,v.,C1
determination,n.,B2
determine,v.,B1
determined,adj.,B1
determiner,noun,B2
devastate,v.,C1
devastating,adjective,B1
develop,v.,A2
developed,adjective,A2
developing,adjective,B2
development,n.,B1
device,n.,A2
devil,n.,C1
devise,v.,C1
devote,v.,B2
devoted,adjective,B2
devotion,noun,B1
diagnose,v.,C1
diagnosis,n.,C1
diagram,n.,B1
dial,verb,B1
dialog/dialogue,noun,B1
dialogue,n.,A1
diameter,noun,B1
diamond,n.,B1
diaper,noun,B1
diarrhea/diarrhoea,noun,B2
diary,n.,A2
dictate,v.,C1
dictator,n.,C1
dictionary,n.,A1
did,do-verb,A1
die,v.,A1
diet,n.,A1
differ,v.,B2
difference,n.,A1
different,adj.,A1
differentiate,v.,C1
differently,adv.,A2
difficult,adj.,A1
difficulty,n.,B1
dig,v.,B2
digest,noun,B2
digital,adj.,A2
digital camera,noun,A2
dignify,verb,B2
dignity,n.,C1
dilemma,n.,C1
diligence,noun,B1
diligent,adjective,B1
dim,adjective,B2
dime,noun,B2
dimension,n.,C1
diminish,v.,C1
dining room,noun,A1
dinner,n.,A1
dinosaur,noun,A2
dioxide,noun,B1
dip,v.,C1
diphtheria,noun,B2
diploma,noun,B2
diplomat,n.,C1
diplomatic,n.,C1
direct,verb,B1
direction,n.,A2
directly,adv.,B1
director,n.,A2
directory,n.,C1
dirt,n.,B1
dirty,adj.,A1
disability,n.,B2
disable,verb,B1
disabled,adj.,B2
disadvantage,n.,B1
disagree,v.,A2
disagreement,n.,B2
disappear,v.,A2
disappearance,noun,B2
disappoint,v.,B2
disappointed,adj.,B1
disappointing,adj.,B1
disappointment,n.,B2
disapproval,noun,B2
disapprove,verb,B2
disaster,n.,A2
disastrous,adj.,C1
disc,n.,B2
disc jockey/disk jockey,noun,B1
discard,v.,C1
discharge,v.,C1
disciple,noun,B2
discipline,n.,B2
disclose,v.,C1
disclosure,n.,C1
disco,noun,A2
discomfort,noun,B1
disconnect,verb,B2
discount,noun,B1
discourage,v.,B2
discourse,n.,C1
discover,v.,A2
discovery,n.,A2
discredit,verb,B2
discretion,n.,C1
discriminate,verb,B2
discrimination,n.,C1
discuss,v.,A1
discussion,n.,A2
disease,n.,A2
disgrace,noun,B2
disguise,verb,B2
disgusting,adjective,B1
dish,n.,A1
dishonest,adj.,B2
dishonesty,noun,B2
dishwasher,noun,B1
disillusion,verb,B2
disk,n.,B2
disk/disc,noun,B1
dislike,verb,B1
dismiss,v.,B2
dismissal,n.,C1
disorder,n.,B2
disorderly,adjective,B2
disorganized/disorganised,adjective,B2
dispensable,adjective,B2
displace,v.,C1
display,verb,B1
displeasure,noun,B2
disposal,n.,C1
dispose,v.,C1
disposition,noun,B2
dispute,noun,B2
disqualify,verb,B2
disregard,noun,B2
disrupt,v.,C1
disruption,n.,C1
dissatisfaction,noun,B2
dissatisfied,adjective,B2
dissident,noun,B2
dissolve,v.,C1
distance,n.,A2
distant,adj.,B2
distinct,adj.,B2
distinction,n.,C1
distinctive,adj.,C1
distinctly,adverb,B1
distinguish,v.,B2
distinguished,adjective,B2
distort,v.,C1
distortion,noun,B2
distract,v.,B2
distraction,noun,B2
distressing,adjective,B2
distribute,v.,B2
distribution,n.,B2
distributor,noun,B2
district,n.,B1
disturb,v.,B2
disturbance,noun,B1
disturbing,adj.,C1
dive,verb,B1
diver,noun,B1
diverse,adj.,B2
diversion,noun,B2
diversity,n.,B2
divert,v.,C1
divide,verb,A2
divided,adjective,B2
divine,adj.,C1
diving,noun,B1
division,n.,B2
divorce,verb,B2
divorced,adj.,A2
dizzy,adjective,A2
do,do-verb,A1
doc,noun,B1
dock,noun,B2
doctor,n.,A1
doctor/Dr./Dr,noun,A1
doctrine,n.,C1
document,noun,B1
documentary,n.,B1
documentation,n.,C1
does,do-verb,A1
dog,n.,A1
doing,do-verb,A1
doll,noun,A1
dollar,n.,A1
dolphin,noun,B1
domain,n.,C1
domestic,adj.,B2
dominance,n.,C1
dominant,adj.,B2
dominate,v.,B2
donate,v.,B1
donation,n.,B2
done,do-verb,A2
donkey,noun,B2
donor,n.,C1
doom,noun,B2
door,n.,A1
doorkeeper,noun,B2
doorway,noun,B2
dorm,noun,B2
dormitory,noun,B2
dose,n.,C1
dot,n.,B2
double,verb,B2
doubly,adverb,B2
doubt,verb,B2
doubtful,adjective,B2
dove,noun,B2
down,preposition,A2
downfall,noun,B2
download,verb,A2
downsize,verb,B2
downstairs,adverb,A2
downtown,adverb,A2
downward,adjective,B1
downwards,adv.,B2
dowry,noun,B2
doze,noun,B1
dozen,noun,B1
draft/draught,noun,B2
drag,v.,B2
drain,v.,C1
drama,n.,A2
dramatic,adj.,B2
dramatically,adv.,B2
drapery,noun,B2
draw,v.,A1
drawer,noun,A2
drawing,n.,A2
dread,verb,B2
dreadful,adjective,B2
dream,verb,A2
dreamy,adjective,B2
dress,verb,A2
dressed,adj.,B1
drift,v.,C1
drill,noun,A2
drink,verb,A1
drinkable,adjective,B2
drive,verb,A2
driver,n.,A1
driver's license/driving licence,noun,A2
driving,adj.,C1
droop,noun,B2
drop,verb,A1
dropout,noun,B2
drought,n.,B2
drown,v.,C1
drug,n.,A2
drugstore,noun,A2
drum,n.,B1
drunk,adj.,B1
dry,verb,A2
dual,adj.,C1
dub,v.,C1
duck,noun,A2
dude,noun,B1
due,adj.,B1
duel,noun,B2
dull,adj.,B2
dumb,adj.,C1
dump,v.,B2
duo,n.,C1
duplicate,noun,B2
duplication,noun,B2
duration,n.,B2
during,preposition,A2
dust,n.,B1
dustbin,noun,B1
dusty,adjective,B1
duty,n.,B1
duty-free,adjective,B1
duvet,noun,B1
dwarf,noun,B2
dye,noun,B2
dynamic,adjective,B2
dynasty,noun,B1
each,pronoun,A1
each other,pronoun,A1
eager,adj.,C1
eagerly,adverb,B2
eagerness,noun,B1
eagle,noun,B2
ear,n.,A1
earache,noun,B1
early,adverb,A1
earn,v.,A2
earnest,adjective,B1
earnings,n.,C1
earring,noun,A2
earth,n.,A2
earthquake,n.,B1
ease,verb,B2
easily,adv.,A2
east,noun,A2
eastern,adj.,B1
eastward,adverb,B2
easy,adj.,A1
easygoing/easy-going,adjective,B1
eat,v.,A1
eco,noun,B1
ecological,adj.,C1
ecologically,adverb,B2
ecologist,noun,B2
ecology,noun,B1
economic,adj.,B1
economical,adjective,B2
economics,n.,B2
economist,n.,B2
economy,n.,B1
ecosystem,noun,B1
ecstasy,noun,B1
ecstatic,adjective,B2
edge,n.,B1
edit,v.,B2
edition,n.,B2
editor,n.,B1
editorial,adj.,B2
educate,v.,B1
educated,adj.,B1
education,n.,A2
educational,adj.,B1
educator,n.,C1
effect,n.,A2
effective,adj.,B1
effectively,adv.,B1
effectiveness,n.,C1
efficiency,n.,C1
efficient,adj.,B2
efficiently,adv.,B2
effort,n.,B1
egg,n.,A1
ego,n.,C1
eight,number,A1
eighteen,number,A1
eighty,number,A1
either,pronoun,B1
elaborate,adj.,C1
elbow,n.,B2
elderly,adj.,B2
elect,v.,B2
election,n.,B1
elective,adjective,B2
electoral,adj.,C1
electric,adj.,A2
electrical,adj.,A2
electrician,noun,B2
electricity,n.,A2
electron,noun,B1
electronic,adj.,A2
electronically,adverb,B2
electronics,n.,B2
elegance,noun,B2
elegant,adj.,B2
elegantly,adverb,B2
element,n.,B1
elemental,adjective,B2
elementary,adj.,B2
elephant,n.,A1
elevate,v.,C1
elevator,n.,A2
eleven,number,A1
eligible,adj.,C1
eliminate,v.,B2
elite,n.,C1
eloquence,noun,B2
eloquent,adjective,B2
else,adv.,A1
elsewhere,adv.,B2
email,verb,A2
email/e-mail/E-mail,noun,A1
embark,v.,C1
embarrass,verb,B1
embarrassed,adj.,B1
embarrassing,adj.,B1
embarrassment,n.,C1
embassy,n.,C1
embed,v.,C1
embody,v.,C1
embrace,v.,B2
emerge,v.,B2
emergence,n.,C1
emergency,n.,B1
emission,n.,B2
emotion,n.,B1
emotional,adj.,B2
emotionally,adv.,B2
emperor,noun,B1
emphasis,n.,B2
emphasize,v.,B2
emphasize/emphasize,verb,B1
emphatically,adverb,B2
empire,n.,B2
empirical,adj.,C1
employ,v.,A2
employee,n.,A2
employer,n.,A2
employment,n.,B1
empower,v.,C1
empty,adjective,A2
enable,v.,B2
enact,v.,C1
enclose,verb,B1
encompass,v.,C1
encounter,verb,B2
encourage,v.,B1
encouragement,n.,C1
encouraging,adj.,C1
encyclopedia/encyclopaedia,noun,B1
end,verb,A2
endanger,verb,B1
endangered,adjective,A2
endeavor/endeavour,noun,B2
endeavour,n.,C1
ending,n.,A2
endless,adj.,C1
endlessly,adverb,B2
endorse,v.,C1
endorsement,n.,C1
endurance,noun,B2
endure,v.,C1
enduring,adjective,B2
enemy,n.,B1
energetic,adjective,A2
energy,n.,A2
enforce,v.,C1
enforcement,n.,C1
engage,v.,B2
engaged,adj.,B1
engagement,n.,C1
engaging,adj.,C1
engine,n.,A2
engineer,n.,A2
engineering,n.,B1
engulf,verb,B2
enhance,v.,B2
enjoy,v.,A1
enjoyable,adj.,B2
enjoyment,noun,B1
enormous,adj.,A2
enough,pronoun,A2
enquire,v.,C1
enquiry,n.,B2
enrich,v.,C1
enrol,v.,C1
enroll/enrol,verb,B2
ensue,v.,C1
ensure,v.,B2
enter,v.,A2
enterprise,n.,C1
entertain,v.,B1
entertainer,noun,B1
entertaining,adj.,B2
entertainment,n.,B1
enthusiasm,n.,B2
enthusiast,n.,C1
enthusiastic,adj.,B2
enthusiastically,adverb,B2
entire,adj.,B2
entirely,adv.,B2
entitle,v.,C1
entity,n.,C1
entrance,n.,B1
entrepreneur,n.,B2
entry,n.,B1
envelope,n.,B2
environment,n.,A2
environmental,adj.,B1
environmentalist,noun,B1
environmentally,adverb,B2
environmentally friendly,adjective,B2
envy,verb,B2
epidemic,n.,C1
episode,n.,B1
equal,verb,B2
equality,n.,C1
equally,adv.,B1
equation,n.,C1
equip,v.,B2
equipment,n.,A2
equity,noun,B2
era,n.,B2
erect,v.,C1
error,n.,A2
erupt,v.,B2
eruption,noun,B2
escalate,v.,C1
escalator,noun,A2
escape,verb,B1
especially,adv.,A2
essay,n.,A2
essayist,noun,B2
essence,n.,C1
essential,adj.,B1
essentially,adv.,B2
establish,v.,B2
establishment,n.,C1
estate,n.,B2
estimate,verb,B1
estimated,adjective,B2
eternal,adj.,C1
eternally,adverb,B2
eternity,noun,B1
ethic,n.,B2
ethical,adj.,B2
ethnic,adj.,B2
euro,n.,A1
evacuate,v.,C1
evacuation,noun,B2
evaluate,v.,B2
evaluation,n.,B2
even,adverb,A2
evening,n.,A1
evenly,adverb,B1
event,n.,A1
eventually,adv.,B1
ever,adv.,A1
everlasting,adjective,B2
every,determiner,A1
everybody,pronoun,A1
everyday,adj.,A2
everyone,pronoun,A1
everything,pronoun,A1
everywhere,adv.,A2
evidence,n.,A2
evident,adj.,B2
evidently,adverb,B2
evil,noun,B2
evoke,v.,C1
evolution,n.,B2
evolutionary,adj.,C1
evolve,v.,B2
exact,adj.,A2
exactly,adv.,A2
exactness,noun,B2
exaggerate,v.,C1
exaggeration,noun,B2
exalt,verb,B2
exam,n.,A1
examination,n.,B2
examine,v.,B1
examinee,noun,B2
examiner,noun,B1
example,n.,A1
exceed,v.,B2
excel,verb,B2
excellence,n.,C1
excellent,adj.,A2
except,preposition,A2
exception,n.,B2
exceptional,adj.,C1
exceptionally,adverb,B2
excess,noun,B1
excessive,adj.,B2
exchange,verb,B1
exchange rate,noun,B1
excited,adj.,A1
excitedly,adverb,B1
excitement,n.,B1
exciting,adj.,A1
exclaim,verb,B2
exclamation mark,noun,B2
exclude,v.,B2
exclusion,n.,C1
exclusive,adj.,C1
exclusively,adv.,C1
excursion,noun,B2
excuse,verb,B1
execute,v.,C1
execution,n.,C1
executive,noun,B2
exercise,verb,A1
exert,v.,C1
exhaust,noun,B2
exhausted,adjective,B1
exhausting,adjective,B2
exhaustion,noun,B2
exhibit,verb,B2
exhibition,n.,B1
exile,n.,C1
exist,v.,A2
existence,n.,B2
existing,adjective,B2
exit,verb,B1
exotic,adj.,B2
expand,v.,B1
expansion,n.,B2
expect,v.,A2
expectation,n.,B2
expected,adj.,B1
expedition,n.,B1
expenditure,n.,C1
expense,n.,B2
expensive,adj.,A1
experience,verb,B1
experienced,adj.,B1
experiment,verb,B2
experimental,adj.,C1
expert,noun,A2
expertise,n.,B2
expire,v.,C1
explain,v.,A1
explanation,n.,A2
explicit,adj.,C1
explicitly,adv.,C1
explode,v.,B1
exploit,v.,B2
exploitation,n.,C1
exploration,n.,B2
explore,v.,B1
explorer,noun,B2
explosion,n.,B1
explosive,noun,B2
export,verb,B2
expose,v.,B2
exposure,n.,B2
express,v.,A2
expression,n.,A2
expressive,adjective,B2
exquisite,adjective,B2
extend,v.,B2
extension,n.,B2
extensive,adj.,B2
extensively,adv.,B2
extent,n.,B2
external,adj.,B2
extinct,adjective,B1
extinction,noun,B1
extra,noun,B1
extract,verb,B2
extraordinarily,adverb,B2
extraordinary,adj.,B2
extreme,adjective,B1
extreme sports,noun,B1
extremely,adv.,A2
extremist,n.,C1
exultant,adjective,B2
eye,n.,A1
eyebrow,noun,B2
eyelash,noun,B2
eyelid,noun,B2
eyesight,noun,B1
fabric,n.,B2
fabulous,adj.,B2
face,verb,A2
face to face,adverb,B1
face-to-face,adjective,B1
facilitate,v.,C1
facilities,noun,B2
facility,n.,B2
fact,n.,A1
faction,n.,C1
factor,n.,A2
factory,n.,A2
faculty,n.,C1
fade,v.,C1
fail,v.,A2
failed,adj.,B2
failure,n.,B2
faint,verb,B2
fair,adj.,A2
fairly,adv.,B1
fairness,n.,C1
fairy,noun,A1
faith,n.,B2
faithful,adjective,B1
fake,adj.,B2
fall,verb,A2
fallen,adjective,B1
false,adj.,A1
falter,verb,B2
fame,n.,B2
familiar,adj.,B1
familiarize/familiarise,verb,B2
family,noun,A1
famous,adj.,A1
fan,n.,A2
fancy,adj.,B1
fantastic,adj.,A1
fantastically,adverb,B2
fantasy,n.,B2
far,adverb,A2
faraway,adjective,B1
fare,n.,B2
farewell,noun,B1
farm,noun,A1
farmer,n.,A1
farming,n.,A2
farmland,noun,B1
farther,adverb,B1
farthest,adverb,B1
fascinate,verb,B1
fascinated,adjective,B2
fascinating,adj.,B1
fascination,noun,B2
fashion,n.,A2
fashionable,adj.,B1
fast,adverb,A1
fast food,noun,A2
fasten,v.,B1
fat,noun,B2
fatal,adj.,C1
fate,n.,C1
father,n.,A1
father-in-law,noun,B2
fault,n.,B2
faulty,adjective,B2
favor/favour,noun,A2
favorable/favourable,adjective,B1
favorite/favourite,noun,A1
favourable,adj.,C1
fax,verb,B1
fear,verb,B2
fearsome,adjective,B2
feast,noun,B1
feat,n.,C1
feather,n.,B2
feature,verb,B2
fed up,adjective,B2
federal,adj.,B2
fee,n.,B2
feed,verb,B1
feedback,n.,B2
feel,verb,A1
feeling,n.,A1
fellow,adj.,B2
female,noun,B2
fence,n.,B1
ferry,noun,B1
ferryboat,noun,B2
festival,n.,A1
festive,adjective,B1
fetch,verb,B1
fever,n.,B2
feverishly,adverb,B1
few,pronoun,B1
fiber/fibre,noun,B2
fibre,n.,C1
fiction,n.,A2
fictional,adjective,B2
field,n.,A2
fierce,adj.,C1
fifteen,number,A1
fifth,noun,B1
fifty,number,A1
fight,verb,B1
fighter,noun,A2
fighting,n.,B1
figurative,adjective,B2
figure,verb,A2
file,verb,B2
filial,adjective,B2
fill,v.,A1
filling,noun,B1
film,verb,B1
film-maker,n.,C1
filter,noun,B1
final,noun,A2
finally,adv.,A2
finance,verb,B1
financial,adj.,B1
financially,adverb,B2
find,v.,A1
finding,n.,B2
fine,adj.,A1
finely,adverb,B2
finger,n.,A2
fingernail,noun,B2
finish,verb,A1
fire,verb,B2
fire brigade,noun,B2
fire station,noun,B1
firearm,n.,C1
firefighter,n.,B2
fireplace,noun,B2
firework,n.,B2
firm,adj.,B2
firmly,adv.,B2
firmness,noun,B2
first,adverb,A1
first floor,noun,B1
first lady,noun,B1
first language,noun,B2
first name,noun,A2
first person,noun,B2
first-floor,adjective,B1
firstly,adv.,A2
fiscal,adjective,B2
fish,verb,B1
fisherman,noun,A2
fishing,n.,A2
fit,verb,B1
fitness,n.,B1
five,number,A1
fix,verb,B1
fixed,adj.,B1
fixture,n.,C1
flag,n.,B1
flame,n.,B2
flap,verb,B2
flash,verb,B2
flat,adj.,A2
flavor/flavour,noun,B1
flavour,n.,B2
flaw,n.,C1
flawed,adj.,C1
flawless,adjective,B2
flax,noun,B2
flea,noun,A2
flee,v.,C1
fleet,n.,C1
flesh,n.,C1
flexibility,n.,C1
flexible,adj.,B2
flexibly,adverb,B2
flight,n.,A1
flip,verb,B2
float,v.,B2
flock,noun,B1
flood,verb,B1
floor,n.,A1
flour,n.,B1
flourish,v.,C1
flow,verb,B1
flower,n.,A1
flu,n.,A2
fluency,noun,B2
fluent,adjective,B1
fluently,adverb,B1
fluid,n.,C1
flunk,verb,B1
flute,noun,B1
flutter,noun,B2
fly,verb,A1
focus,verb,A1
fog,noun,A2
foggy,adjective,A1
fold,verb,B1
folder,noun,A2
folding,adj.,B2
folk,noun,B1
follow,v.,A1
follower,noun,B2
following,preposition,B2
folly,noun,B2
fond,adj.,B2
fondly,adverb,B2
fondness,noun,B1
food,n.,A1
fool,n.,B2
foolish,adjective,B1
foolishly,adverb,B2
foot,n.,A1
footage,n.,C1
football,n.,A1
footballer,noun,A2
footnote,noun,B2
for,preposition,A1
forbid,v.,B2
forbidden,adjective,B1
force,verb,B2
